,q_year,q_status,cod_year,type_clean,mw1,region,ix_voltage,diff_months_ia,diff_months_cod
4515,2009.0,withdrawn,2011.0,Wind,300.0,MISO,0,11.926322922441939,23.951210497135463
4517,2009.0,operational,2010.0,Other,3.9,MISO,138,17.248814144027598,6.538121932688556
4518,2011.0,withdrawn,2009.0,Wind,49.0,MISO,138,14.029035503809114,-19.28581695722705
4519,2009.0,withdrawn,2010.0,Hydro,112.0,MISO,345,22.341321177026224,6.472412164520832
4520,2009.0,withdrawn,2012.0,Wind,200.0,MISO,345,28.45232961662457,35.943243187745125
4521,2010.0,withdrawn,2012.0,Gas,194.0,MISO,0,21.947062568019877,17.28166902811146
4522,2009.0,withdrawn,2012.0,Wind,350.0,MISO,120,29.24084683463726,35.877533419577404
4523,2009.0,operational,2013.0,Wind,150.0,MISO,345,43.82841536787203,50.33368241647673
4524,2009.0,withdrawn,2012.0,Wind,151.0,MISO,138,16.887410419105116,31.310704531920575
4525,2009.0,withdrawn,2014.0,Wind,50.0,MISO,115,39.852974393724715,55.2947699131399
4527,2009.0,withdrawn,2012.0,Wind,29.0,MISO,138,7.688042875623729,36.337501796751475
4528,2009.0,withdrawn,2011.0,Wind,0.0,MISO,345,23.458387235877534,25.856793773999467
4529,2009.0,withdrawn,2011.0,Wind,200.0,MISO,161,23.458387235877534,16.82170065093739
4530,2009.0,withdrawn,2013.0,Wind,100.0,MISO,161,23.458387235877534,43.861270251955894
4531,2009.0,withdrawn,2012.0,Wind,200.0,MISO,138,16.098893201092427,37.88168134869299
4532,2009.0,withdrawn,2015.0,Wind,50.0,MISO,69,23.09698351095505,74.84342594303784
4533,2009.0,withdrawn,2015.0,Wind,0.0,MISO,138,33.41341711328775,74.84342594303784
4534,2009.0,withdrawn,2012.0,Wind,100.0,MISO,115,39.65584508922154,38.86732787120886
4535,2009.0,withdrawn,2012.0,Wind,30.0,MISO,69,39.65584508922154,38.86732787120886
4536,2010.0,withdrawn,2012.0,Wind,81.0,MISO,138,24.37832399022567,25.396825396825395
4537,2009.0,operational,2012.0,Gas,447.0,MISO,138,15.70463459208608,31.869237561346228
4538,2009.0,withdrawn,2012.0,Wind,200.0,MISO,230,34.497628288055196,34.760467360726096
4539,2009.0,operational,2009.0,Wind,66.0,MISO,161,64.88839606562763,3.0
4540,2009.0,withdrawn,2012.0,Wind,20.0,MISO,0,56.64182016057825,35.08901620156471
4541,2009.0,withdrawn,2010.0,Wind,50.0,MISO,161,,9.067948007145937
4542,2011.0,withdrawn,2010.0,Wind,200.0,MISO,138,18.760138811885255,-15.474650403499044
4543,2009.0,withdrawn,2010.0,Wind,300.0,MISO,161,37.914536232776854,9.002238238978213
4544,2009.0,withdrawn,2012.0,Wind,150.0,MISO,115,33.67625618595864,34.9247417811454
4545,2009.0,withdrawn,2015.0,Wind,200.0,MISO,161,,69.6852091418715
4546,2009.0,withdrawn,2012.0,Wind,150.0,MISO,230,33.84053060637795,29.667960327727467
4547,2009.0,withdrawn,2012.0,Wind,49.0,MISO,138,16.066038317008562,32.95344873611368
4548,2009.0,withdrawn,2012.0,Wind,300.0,MISO,345,26.38247191934126,32.92059385202982
4559,2009.0,withdrawn,2011.0,Wind,300.0,MISO,345,26.38247191934126,20.862851393252427
4570,2009.0,operational,2010.0,Other,26.0,MISO,0,12.780549908622353,10.546417790919731
4581,2009.0,withdrawn,2014.0,Wind,20.0,MISO,161,26.021068194418778,57.49604714675866
4592,2009.0,withdrawn,2010.0,Other,26.0,MISO,69,2.168422349534898,0.689952565761104
4602,2009.0,withdrawn,2011.0,Wind,80.0,MISO,138,33.54483664962319,19.31867184131091
4613,2009.0,operational,2011.0,Gas,32.0,MISO,138,17.150249491776012,20.337173247910634
4624,2012.0,withdrawn,2011.0,Wind,200.0,MISO,0,12.977679213125526,-5.979588903262901
4635,2009.0,withdrawn,2010.0,Wind,165.0,MISO,138,25.823938889915603,4.303989814985934
4646,2011.0,withdrawn,2013.0,Wind,99.0,MISO,138,28.28805519620526,28.156635659869814
4657,2010.0,operational,2011.0,Gas,7.5,MISO,6,21.421384422678084,18.990123000472288
4668,2010.0,withdrawn,2012.0,Wind,150.0,MISO,345,16.49315181009877,34.79332224480996
4679,2010.0,operational,2011.0,Wind,4.9,MISO,69,43.69699583153658,21.125690465923324
4690,2010.0,withdrawn,2012.0,Wind,101.0,MISO,345,24.115484917554774,28.09092589170209
4701,2010.0,withdrawn,2011.0,Wind,150.0,MISO,0,24.115484917554774,16.066038317008562
4712,2010.0,withdrawn,2012.0,Wind,500.0,MISO,345,28.320910080289124,31.934947329513953
4723,2010.0,withdrawn,2013.0,Wind,999.0,MISO,345,18.004476477956427,41.46286371383396
4734,2010.0,withdrawn,2016.0,Other,9.1,MISO,0,7.096654962114211,75.46766874063123
4744,2013.0,withdrawn,2013.0,Wind,50.0,MISO,161,18.300170434711184,11.762048502022628
4755,2010.0,withdrawn,2011.0,Wind,61.0,MISO,69,29.930799400398364,14.489003880983182
4766,2010.0,withdrawn,2010.0,Gas,135.0,MISO,138,21.289964886342634,4.271134930902072
4777,2010.0,withdrawn,2012.0,Wind,100.0,MISO,0,9.757900572907042,27.860941703115053
4788,2010.0,operational,2012.0,Wind,60.0,MISO,0,25.232550976406085,31.770672909094642
4798,2010.0,withdrawn,2011.0,Nuclear,200.0,MISO,345,34.82617712889382,20.40288301607836
4807,2010.0,withdrawn,2011.0,Wind,50.0,MISO,138,13.371937822131871,17.347378796279184
4818,2011.0,withdrawn,2014.0,Wind,151.0,MISO,345,8.64083451405573,32.296351054436435
4827,2010.0,withdrawn,2012.0,Wind,4.9,MISO,69,26.908150064683053,30.259348241236985
4849,2010.0,withdrawn,2011.0,Wind,100.0,MISO,138,28.09092589170209,13.634776894802767
4859,2010.0,withdrawn,2011.0,Gas,300.0,MISO,0,11.79490338610649,13.109098749460975
4870,2010.0,withdrawn,2011.0,Gas,300.0,MISO,0,11.860613154274215,15.178956446744285
4881,2010.0,withdrawn,2013.0,Gas,300.0,MISO,0,26.021068194418778,41.1671697570792
4891,2010.0,operational,2012.0,Wind,125.0,MISO,345,19.31867184131091,30.65360685024333
4899,2010.0,withdrawn,2013.0,Wind,200.0,MISO,230,26.021068194418778,40.2143781186472
4909,2010.0,withdrawn,2013.0,Wind,150.0,MISO,138,23.655516540380706,40.2143781186472
4919,2008.0,withdrawn,2011.0,Wind,200.0,MISO,161,30.752171502494917,42.349945584098236
4929,2009.0,withdrawn,2013.0,Wind,40.0,MISO,69,19.220107189059323,52.76494383868252
4940,2009.0,withdrawn,2009.0,Wind,100.0,MISO,0,19.088687652723877,10.67783732725518
4973,2009.0,withdrawn,2010.0,Wind,100.0,MISO,161,9.659335920655455,13.240518285796423
4982,2009.0,withdrawn,2012.0,Wind,200.0,MISO,161,15.770344360253803,37.25743855109961
4991,2010.0,operational,2011.0,Gas,60.0,MISO,115,8.969383354894351,9.527916384320006
5013,2010.0,withdrawn,2010.0,Other,26.0,MISO,69,6.406702396353108,2.234132117702622
5024,2010.0,operational,2012.0,Other,14.0,MISO,0,24.115484917554774,25.659664469496292
5035,2010.0,withdrawn,2012.0,Wind,99.0,MISO,138,10.480708022752006,20.1071890593236
5046,2010.0,withdrawn,2010.0,Wind,60.0,MISO,0,32.65775477935892,-1.9055832768640013
5055,2010.0,withdrawn,2011.0,Wind,4.9,MISO,69,0.49282326125793136,13.109098749460975
5064,2010.0,withdrawn,2012.0,Other,14.0,MISO,120,18.070186246124152,24.082630033470913
5084,2010.0,withdrawn,2011.0,Wind,350.0,MISO,0,29.99650916856609,11.072095936261524
5094,2010.0,withdrawn,2010.0,Other,5.9,MISO,69,13.569067126635044,-1.9384381609478634
5103,2010.0,withdrawn,2012.0,Wind,30.0,MISO,161,24.246904453890224,26.152487730754224
5114,2010.0,withdrawn,2011.0,Wind,500.0,MISO,161,22.63701513378098,6.143863323682211
5125,2010.0,withdrawn,2012.0,Wind,4.9,MISO,69,45.766853528819894,29.109427298301814
5147,2010.0,withdrawn,2011.0,Wind,27.0,MISO,230,20.698576972833116,11.564919197519457
5158,2010.0,withdrawn,2012.0,Wind,150.0,MISO,138,36.69890552167396,24.444033758393395
5169,2010.0,withdrawn,2012.0,Wind,101.0,MISO,138,2.299841885870346,22.209901640690774
5180,2010.0,withdrawn,2012.0,Wind,101.0,MISO,138,1.8070186246124151,21.224255118174913
5189,2010.0,operational,2014.0,Wind,155.0,MISO,345,33.67625618595864,50.005133575638105
5200,2010.0,withdrawn,2012.0,Other Storage,270.0,MISO,161,10.940676399926076,18.957268116388427
5211,2010.0,withdrawn,2014.0,Wind,100.0,MISO,138,23.39267746770981,43.13846280211093
5222,2010.0,withdrawn,2014.0,Wind,99.0,MISO,138,8.673689398139592,51.68073266391507
5233,2010.0,withdrawn,2012.0,Wind,98.0,MISO,138,8.673689398139592,15.86890901250539
5243,2010.0,withdrawn,2010.0,Wind,99.0,MISO,138,8.279430789133247,3.6797470173925544
5252,2010.0,withdrawn,2010.0,Gas,500.0,MISO,115,38.275939957699336,3.6797470173925544
5262,2010.0,withdrawn,2010.0,Wind,200.0,MISO,0,7.2280744984496605,3.5811823651409678
5273,2010.0,withdrawn,2015.0,Solar,20.0,MISO,138,1.149920942935173,63.574200702273146
5283,2010.0,withdrawn,2011.0,Wind,200.0,MISO,138,22.111336988439188,11.564919197519457
5294,2010.0,operational,2011.0,Gas,7.0,MISO,115,55.45904433355921,11.597774081603319
5305,2010.0,withdrawn,2012.0,Gas,3.2,MISO,69,6.932380541694902,21.947062568019877
5326,2010.0,operational,2011.0,Gas,44.0,MISO,0,8.837963818558903,10.579272675003594
5337,2010.0,withdrawn,2011.0,Other,30.0,MISO,115,9.790755456990903,2.529826074457381
5358,2010.0,withdrawn,2015.0,Wind,98.0,MISO,161,33.80767572229409,55.49189921764307
5369,2010.0,withdrawn,2012.0,Wind,100.0,MISO,115,14.751842953654078,22.538450481529395
5380,2010.0,withdrawn,2012.0,Wind,48.0,MISO,69,9.462206616152283,18.53015462329822
5389,2010.0,withdrawn,2012.0,Wind,39.0,MISO,69,9.462206616152283,24.50974352656112
5398,2010.0,withdrawn,2011.0,Other,30.0,MISO,345,6.505267048604694,13.50335735846732
5418,2010.0,operational,2012.0,Wind,200.0,MISO,0,64.23129838395039,25.528244933160845
5440,2010.0,withdrawn,2015.0,Wind,100.0,MISO,345,30.423622661656296,54.47339781104335
5450,2010.0,withdrawn,2015.0,Wind,100.0,MISO,345,39.852974393724715,60.97866485964804
5456,2010.0,withdrawn,2013.0,Wind,198.0,MISO,138,20.797141625084706,33.77482083821023
5463,2010.0,withdrawn,2013.0,Wind,99.0,MISO,138,19.088687652723877,33.77482083821023
